event,week_type,lives_removed
1,single,1
2,single,1
3,single,1
4,single,1
5,single,1
6,single,1
7,single,1
8,single,1
9,single,1
10,single,1
11,single,1
12,single,1
13,single,1
14,single,1
15,single,1
16,single,1
17,single,1
18,single,1
19,single,1
20,single,1
21,single,1
22,single,1
23,single,1
24,single,1
25,single,1
26,single,1
27,single,1
28,double,2
29,single,1
30,single,1
31,single,1
32,single,1
33,single,1
34,triple,3
35,single,1
36,single,1
37,single,1
38,single,1
